name,description,original_price,seller_name
Apple iPad 10.2-inch (9th Gen) Wi-Fi 2021,,10990000,Tiki Trading
Điện thoại Xiaomi Redmi 9A (2GB/32GB),,2490000,Tiki Trading
Máy đọc sách All New Kindle Paperwhite 5 (11th Gen) - Hàng nhập khẩu,,4290000,Techmorevn
Apple iPad Air (5th Gen) Wi-Fi 2022,,18990000,Tiki Trading
Apple iPhone 13,,24990000,Tiki Trading
Điện thoại Xiaomi Redmi 10C (4GB/128GB),,4390000,Tiki Trading
Apple iPhone 14 Pro Max,,33990000,Tiki Trading
Máy đọc sách All New Kindle Paperwhite 5 (11th Gen) - Hàng chính hãng,,4230000,Shop Máy Đọc Sách Hà Nội
Apple iPhone 14 Pro,,30990000,Tiki Trading
Điện Thoại Samsung Galaxy S20 FE (8GB/256GB) - Hàng Chính Hãng - Đã kích hoạt bảo hành điện tử,,9990000,Tiki Trading
Apple iPhone 11,,15999000,Tiki Trading
Điện thoại Nokia 110 4G - Hàng chính hãng,,639000,Goldendolphin
Điện Thoại Samsung A14 4GB/128GB - Hàng Chính Hãng,,4490000,Hồng Hạnh Mobile
Điện Thoại Nokia C30 (2GB/32GB) - Hàng Chính Hãng,,1990000,Tiki Trading
Điện thoại Xiaomi Redmi 10 5G (4GB/64GB),,4790000,Tiki Trading
Điện Thoại Samsung Galaxy A04 (3GB/32GB) - Hàng Chính Hãng - Đã kích hoạt bảo hành điện tử,,2990000,HAPPY PHONE
Máy đọc sách Kindle Paperwhite 5 (8GB) - Hàng chính hãng,,4990000,Tiki Trading
Điện Thoại Xiaomi Redmi 12C 4GB/64GB - Hàng Chính Hãng,,3590000,Tiki Trading
Điện thoại Realme C55 (6GB/128GB) - Hàng chính hãng,,4790000,Tiki Trading
Điện thoại Samsung Galaxy A23 (4GB/128GB) - Hàng chính hãng - Đã kích hoạt bảo hành điện tử,,5690000,HAPPY PHONE
Máy đọc sách New Kindle 11th 2022 (16GB) - Hàng chính hãng,,3190000,Tiki Trading
Điện Thoại Bàn Panasonic KX-TSC11 - Hàng Chính Hãng - Trắng,,568000,Viễn thông Hà Nhung
Combo máy đọc sách Kindle Paperwhite 5 (11th gen) tặng kèm bao da ( Cover ) - Hàng nhập khẩu,,3390000,Shop Máy Đọc Sách Hà Nội
Điện thoại bàn Panasonic  KX-TS500MX-hàng chính hãng,,290000,Viễn thông Hà Nhung
Điện Thoại Samsung Galaxy A04s (4GB/64GB) - Hàng Chính Hãng - Đã kích hoạt bảo hành điện tử,,3990000,HAPPY PHONE
Máy Tính Bảng Samsung Galaxy Tab A7 Lite T225 3GB/32GB - Hàng Chính Hãng,,4990000,Hồng Hạnh Mobile
Điện thoại Nokia 105 4G - Hàng chính hãng,,629000,Goldendolphin
Điện thoại Tecno SPARK 10 Pro 8GB/128GB - Helio G88 | 5000 mAh | Sạc nhanh 18W | Cảm ứng vân tay - Hàng chính hãng,,3990000,Tecno Official Store
Điện thoại Realme C33 (3GB/32GB) - Hàng chính hãng,,3490000,Tiki Trading
"Máy đọc sách Kindle 2022 (11th) - All new kindle 2022 11th màn hình 6inch 300PPI gấp 2 lần độ sắc nét, 16GB bộ nhớ trong với cổng kết nối USB-C - Hàng nhập khẩu",,2990000,Shop Máy Đọc Sách Hà Nội
Điện Thoại Bàn Panasonic KXTS 520 - Hàng Chính Hãng,,479000,Nova Computer
Apple iPhone 14,,24990000,Tiki Trading
Điện Thoại Xiaomi Redmi Note 12 4GB/128GB - Hàng Chính Hãng,,4990000,Hồng Hạnh Mobile
Máy đọc sách All New Kindle Oasis 3 - Hàng nhập khẩu,,6750000,Techmorevn
Điện thoại Xiaomi Redmi A1 (2GB/32GB),,2490000,Tiki Trading
Apple iPhone 14 Plus,,27990000,Tiki Trading
